GAME_ID,TEAM_ID_home,TEAM_ID_away,PTS_home,PTS_away,FG_PCT_home,FG_PCT_away,HOME_TEAM_WINS,GAME_DATE,G_home,W_home,L_home,W_PCT_home,G_away,W_away,L_away,W_PCT_away
22200477,1610612740,1610612759,126.0,117.0,0.484,0.478,1,2022-12-22,31,19,12,0.613,31,10,21,0.323
22200478,1610612762,1610612764,120.0,112.0,0.488,0.561,1,2022-12-22,35,19,16,0.543,33,12,21,0.364
22200466,1610612739,1610612749,114.0,106.0,0.482,0.47,1,2022-12-21,33,22,11,0.667,31,22,9,0.71
22200467,1610612755,1610612765,113.0,93.0,0.441,0.392,1,2022-12-21,30,18,12,0.6,34,8,26,0.235
22200468,1610612737,1610612741,108.0,110.0,0.429,0.5,0,2022-12-21,32,16,16,0.5,31,13,18,0.419
22200469,1610612738,1610612754,112.0,117.0,0.386,0.469,0,2022-12-21,32,22,10,0.688,32,16,16,0.5
22200470,1610612751,1610612744,143.0,113.0,0.643,0.494,1,2022-12-21,32,20,12,0.625,33,15,18,0.455
22200471,1610612752,1610612761,106.0,113.0,0.553,0.447,0,2022-12-21,32,18,14,0.563,32,14,18,0.438
22200472,1610612745,1610612753,110.0,116.0,0.466,0.451,0,2022-12-21,31,9,22,0.29,33,12,21,0.364
22200473,1610612750,1610612742,99.0,104.0,0.494,0.453,0,2022-12-21,32,16,16,0.5,32,16,16,0.5
22200474,1610612760,1610612757,101.0,98.0,0.468,0.494,1,2022-12-21,32,14,18,0.438,32,17,15,0.531
22200475,1610612758,1610612747,134.0,120.0,0.505,0.5,1,2022-12-21,30,17,13,0.567,31,13,18,0.419
22200476,1610612746,1610612766,126.0,105.0,0.506,0.402,1,2022-12-21,33,19,14,0.576,32,8,24,0.25
22200461,1610612765,1610612762,111.0,126.0,0.506,0.505,0,2022-12-20,33,8,25,0.242,34,18,16,0.529
22200462,1610612748,1610612741,103.0,113.0,0.469,0.548,0,2022-12-20,32,16,16,0.5,30,12,18,0.4
22200463,1610612752,1610612744,132.0,94.0,0.517,0.473,1,2022-12-20,31,18,13,0.581,32,15,17,0.469
22200464,1610612756,1610612764,110.0,113.0,0.461,0.475,0,2022-12-20,32,19,13,0.594,32,12,20,0.375
22200465,1610612743,1610612763,105.0,91.0,0.449,0.444,1,2022-12-20,30,19,11,0.633,30,19,11,0.633
22200452,1610612739,1610612762,122.0,99.0,0.614,0.387,1,2022-12-19,32,21,11,0.656,33,17,16,0.515
22200453,1610612755,1610612761,104.0,101.0,0.4,0.42,1,2022-12-19,29,17,12,0.586,31,13,18,0.419
22200454,1610612737,1610612753,126.0,125.0,0.511,0.474,1,2022-12-19,31,16,15,0.516,32,11,21,0.344
22200455,1610612745,1610612759,105.0,124.0,0.426,0.554,0,2022-12-19,30,9,21,0.3,30,10,20,0.333
22200456,1610612750,1610612742,116.0,106.0,0.472,0.408,1,2022-12-19,31,16,15,0.516,31,15,16,0.484
22200457,1610612740,1610612749,119.0,128.0,0.424,0.556,0,2022-12-19,30,18,12,0.6,30,22,8,0.733
22200458,1610612760,1610612757,123.0,121.0,0.455,0.5,1,2022-12-19,31,13,18,0.419,31,17,14,0.548
22200459,1610612756,1610612747,130.0,104.0,0.495,0.448,1,2022-12-19,31,19,12,0.613,30,13,17,0.433
22200460,1610612758,1610612766,119.0,125.0,0.474,0.516,0,2022-12-19,29,16,13,0.552,31,8,23,0.258
